family                    , RMSE                  , MAE                   , R2
AUTOMOTIVE                ,    54.01361984021826  ,    38.83867010743425  , 0.5791618618713552
BABY CARE                 ,     4.066890918844686 ,     3.4550956569272557, -0.09113495192633736
BEAUTY                    ,    86.14893146948697  ,    69.97358887062417  , 0.05492891695841029
BEVERAGES                 , 62899.85967546757     , 55026.00805022936     , -2.4417768916811515
BOOKS                     ,     2.1202363363609336,     1.9945491861576972, -4.093056739404311
BREAD/BAKERY              ,  2760.0890113036467   ,  2283.6064172914425   , 0.5207559448883121
CELEBRATION               ,   189.5249013110167   ,   142.51126631678014  , -0.18012586744921788
CLEANING                  , 19002.601688369377    , 13131.213320042456    , -0.17834788800089263
DAIRY                     ,  5781.207214716814    ,  4510.309199313041    , 0.2850113557210536
DELI                      ,  2315.5060381327035   ,  1924.2582967230403   , 0.29423828353916814
EGGS                      ,  1624.663275823487    ,  1306.6680850174612   , 0.48911092957574687
FROZEN FOODS              ,   622.4929102677569   ,   422.2693241111378   , 0.8649961948795889
GROCERY I                 , 45922.27989659161     , 38399.21254771668     , -0.4593493289822026
GROCERY II                ,   296.6132060007481   ,   241.82893182041113  , 0.35613395360359423
HARDWARE                  ,    10.572838807830422 ,     9.201385021394744 , 0.4990976512874713
HOME AND KITCHEN I        ,   962.3318436713931   ,   821.5160795033089   , -10.184927129355973
HOME AND KITCHEN II       ,   533.688410075928    ,   399.1858816849957   , -1.6802304970290334
HOME APPLIANCES           ,     9.409076105070277 ,     8.06219020018935  , -1.6966113334001904
HOME CARE                 , 11595.75011924233     , 10816.964746846716    , -9.751262676407187
LADIESWEAR                ,    90.04530103264025  ,    69.90751715679978  , 0.7717311471683943
LAWN AND GARDEN           ,    90.49105069992261  ,    72.08154020248465  , 0.6881481153046478
LINGERIE                  ,    48.22746922428186  ,    40.344969394856626 , 0.5327907163626588
"LIQUOR,WINE,BEER"        ,  1486.8638143025496   ,  1142.152710024371    , 0.6581032397727888
MAGAZINES                 ,   105.24642799650958  ,    85.11647161596429  , -0.1790477373449979
MEATS                     ,  2149.986408892354    ,  1853.1688369700134   , 0.6875228820671027
PERSONAL CARE             ,  5560.115516922331    ,  4170.6355233847735   , -1.1678602396793312
PET SUPPLIES              ,    92.30384487251767  ,    67.05822881748003  , 0.122056339063919
PLAYERS AND ELECTRONICS   ,   105.26295419277976  ,    84.47399328215128  , 0.2312650587256425
POULTRY                   ,  2691.1227199454042   ,  2233.334073848953    , 0.5854082750325234
PREPARED FOODS            ,   500.2841646012661   ,   447.4528679951857   , -0.22684911887167858
PRODUCE                   , 13122.833028887773    , 11137.674957252386    , 0.5238379172025591
SCHOOL AND OFFICE SUPPLIES,  2376.1581020778617   ,  1872.1999948074704   , -1.3307807214385057
SEAFOOD                   ,   110.94388849553464  ,    92.92696741672943  , 0.6994411911111786
